Timestamp,What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Interest in technology and problem-solving],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Fascination with data analysis and decision-making],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Enjoyment of coding, programming, and building applications]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Strong job prospects and high earning potential],"Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Encouragement or advice from family members, mentors, or educators]",Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [Pressure from family members],Rank the following reasons on why you chose CS (CSBA) or DS as your major or minor? [One or more of my family members or friends work in this area],"Have you ever thought about changing your major? If so, what were the reasons? Choose all that apply.",What is your current cumulative GPA?,"Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Software Engineering]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Web Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Data Science]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer security and cryptography]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Databases]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Algorithms]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Game Development]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Networks]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Machine Learning, Data Mining, NLP, AI]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Architecture]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Embedded systems]","Rank your top 3 preferred domains of interest in computer science? For options not chosen, select ""Not applicable."" [Computer Graphics]",Around what time did you become interested in CS/DS?,Which of the following computer science programs or courses did you take during high school? Select all that apply.,Answer the following questions regarding CS/DS [I feel motivated to expand my CS/DS knowledge and skills beyond UCR’s core curriculum.],Answer the following questions regarding CS/DS [I feel satisfied with the CS/DS courses I have taken at UCR],Answer the following questions regarding CS/DS [I have a clear reason for choosing CS/DS as my major.],Answer the following questions regarding CS/DS [I have considered changing my major to something outside of CS/DS / I have considered no longer pursuing a minor in DS and other CS related majors / I have considered taking no more CS/DS classes in the future],Indicate how accurately the following statements about coding apply to you: [The code/programs I produce are exceptional],Indicate how accurately the following statements about coding apply to you: [I am very comfortable with programming/writing code.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding in an academic setting.],Indicate how accurately the following statements about coding apply to you: [I enjoy coding outside of an academic setting.],Indicate how accurately the following statements about coding apply to you: [I often feel discouraged when coding.]
5/5/2025 22:07:24,Sophomore,No,Data Science major,4,4,4,4,4,4,4,I realized I’m more passionate about another field.,2.33 – 2.67,2nd,2nd,1st,2nd,1st,1st,3rd,3rd,1st,3rd,3rd,3rd,High School,None of the above,5,5,5,5,3,3,3,3,3
5/5/2025 22:28:34,Freshman,No,Robotics,2,2,3,2,1,1,1,"N/A, I have never thought about changing my major.",2.67 – 3.0,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,None of the above,4,4,4,4,4,3,4,4,4
5/5/2025 22:29:01,Sophomore,No,CS major,5,5,5,3,1,1,1,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,Not applicable,Not applicable,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,1,5,1,4,4,5,5,4
5/5/2025 22:32:00,Freshman,No,Data Science major,4,5,4,3,3,1,3,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,3rd,1st,3rd,2nd,2nd,3rd,3rd,1st,3rd,1st,3rd,Middle School,"PLTW courses and/or program, AP courses and/or exam",4,2,5,1,3,5,3,5,5
5/5/2025 22:37:55,Freshman,No,CS major,2,2,2,3,3,3,1,"I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming., I wanted a major that aligns better with my personal values or lifestyle.",3.67 – 4.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,3rd,Not applicable,Not applicable,Not applicable,2nd,High School,PLTW courses and/or program,4,4,4,5,1,1,1,1,1
5/5/2025 22:42:42,Freshman,No,CS major,5,5,5,5,5,5,5,"N/A, I have never thought about changing my major.",2.0 – 2.33,2nd,3rd,1st,1st,1st,1st,2nd,1st,1st,1st,1st,2nd,High School,None of the above,5,5,5,3,1,4,5,2,1
5/5/2025 22:52:49,Sophomore,No,Robotics Engineering,5,5,5,5,4,1,1,Original: Mechanical Engineering + C.S Minor -> Current: Robotics Engineering. Skills and interests aligned plus the Robotics Courseplan is much more exciting to me.,3.0 – 3.33,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,1st,Not applicable,High School,AP courses and/or exam,5,5,4,3,4,5,5,5,1
5/5/2025 22:53:25,Sophomore,No,Robotics,3,4,4,5,4,4,4,"N/A, I have never thought about changing my major.",3.67 – 4.0,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,2nd,Not applicable,1st,Not applicable,Not applicable,Not applicable,Middle School,AP courses and/or exam,5,4,5,1,3,2,3,3,3
5/5/2025 22:56:57,Freshman,No,CS major,5,4,5,3,3,1,4,"N/A, I have never thought about changing my major.",3.67 – 4.0,Not applicable,Not applicable,Not applicable,3rd,2nd,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Before Middle School,None of the above,5,5,5,1,3,5,5,5,2
5/5/2025 22:58:43,Freshman,No,Robotics Engineering,2,2,3,5,4,3,1,I found the coursework too challenging or overwhelming.,3.0 – 3.33,2nd,2nd,3rd,1st,3rd,3rd,3rd,2nd,2nd,Not applicable,Not applicable,Not applicable,Middle School,AP courses and/or exam,2,4,5,1,4,4,2,3,4
5/5/2025 22:59:16,Freshman,No,CS major,5,4,4,5,4,2,3,I found the coursework too challenging or overwhelming.,3.67 – 4.0,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,5,5,4,4,3,4,3,4
5/5/2025 23:00:14,Junior,No,CS major,4,3,3,4,5,5,1,"I found the coursework too challenging or overwhelming., The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",2.67 – 3.0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,Not applicable,3rd,High School,AP courses and/or exam,4,4,5,5,3,2,1,4,5
5/5/2025 23:01:27,Junior,No,CSBA major,5,2,2,5,5,3,2,"I realized I’m more passionate about another field., I kinda want to be a therapist",3.33 – 3.67,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,3rd,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Middle School,AP courses and/or exam,5,4,5,5,1,2,2,2,4
5/5/2025 23:02:49,Freshman,No,CEN or EE major,5,4,3,3,3,4,3,I found the coursework too challenging or overwhelming.,Prefer not to say,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,College,None of the above,4,4,4,2,3,3,4,4,3
5/5/2025 23:13:24,Freshman,No,Robotics,4,4,5,5,5,5,5,I realized I’m more passionate about another field.,2.33 – 2.67,3rd,3rd,2nd,3rd,3rd,3rd,Not applicable,Not applicable,Not applicable,1st,3rd,1st,High School,AP courses and/or exam,1,1,1,1,3,3,3,3,3
5/5/2025 23:15:39,Freshman,No,CEN or EE major,3,3,4,4,4,4,4,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals.",3.67 – 4.0,2nd,Not applicable,Not applicable,Not applicable,"1st, Not applicable",Not applicable,1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,4,4,5,5,5,5,5,5,5
5/5/2025 23:15:54,Sophomore,No,CS major,5,3,5,5,4,2,1,"N/A, I have never thought about changing my major.",3.67 – 4.0,1st,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,High School,"AP courses and/or exam, IB courses and/or exam",5,5,5,1,4,4,4,4,3
5/5/2025 23:18:30,Freshman,No,CS major,4,3,5,4,3,1,1,"Sometimes the work makes me question if being a cs major is good, but it's more of a ""in the moment"" sort of thought.",3.0 – 3.33,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,4,5,5,2,3,3,4,3,4
5/5/2025 23:48:44,Sophomore,No,CS major,2,2,2,2,2,2,2,"N/A, I have never thought about changing my major.",3.33 – 3.67,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,1st,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,2,4,4,4,2,2,2,2,2
5/5/2025 23:49:58,Freshman,No,CS major,4,3,2,5,4,5,5,I found the coursework too challenging or overwhelming.,3.33 – 3.67,2nd,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Middle School,"PLTW courses and/or program, AP courses and/or exam",4,5,5,1,4,4,4,2,3
5/5/2025 23:51:15,Freshman,No,Data Science major,2,3,3,3,3,3,2,"N/A, I have never thought about changing my major.",3.33 – 3.67,Not applicable,Not applicable,1st,Not applicable,2nd,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,4,5,2,3,4,2,4,3,4
5/5/2025 23:51:31,Sophomore,No,CEN or EE major,3,1,3,3,2,1,1,I found the coursework too challenging or overwhelming.,2.33 – 2.67,3rd,1st,Not applicable,Not applicable,Not applicable,2nd,2nd,Not applicable,2nd,3rd,Not applicable,1st,High School,AP courses and/or exam,4,4,4,4,3,3,3,3,4
5/5/2025 23:52:45,Freshman,No,CEN or EE major,3,3,3,3,3,3,3,"N/A, I have never thought about changing my major.",3.33 – 3.67,2nd,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,4,3,4,3,4,4,3,4
5/5/2025 23:55:36,Freshman,No,CS major,3,2,3,4,1,1,2,"N/A, I have never thought about changing my major.",3.67 – 4.0,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,1,2,1,1,3,4,1,1,3
5/5/2025 23:55:49,Sophomore,No,CS major,5,5,5,5,5,2,5,"N/A, I have never thought about changing my major.",3.67 – 4.0,3rd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,5,5,5,2,5,5,5,5,2
5/5/2025 23:56:08,Freshman,No,CS major,4,3,3,4,4,3,4,I found the coursework too challenging or overwhelming.,3.33 – 3.67,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,4,4,4,2,2,3,2,4
5/6/2025 0:01:01,Junior,Yes,CEN or EE major,5,4,4,5,3,1,3,I found the coursework too challenging or overwhelming.,3.33 – 3.67,1st,2nd,Not applicable,Not applicable,"3rd, Not applicable",2nd,2nd,3rd,1st,3rd,3rd,2nd,High School,AP courses and/or exam,4,2,3,3,3,3,3,3,3
5/6/2025 0:16:22,Freshman,No,CEN or EE major,4,3,5,4,3,2,3,"N/A, I have never thought about changing my major.",3.0 – 3.33,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,2nd,1st,Not applicable,Not applicable,Middle School,"PLTW courses and/or program, AP courses and/or exam",4,4,5,1,3,3,4,4,3
5/6/2025 0:51:31,Freshman,No,CS major,5,5,5,5,5,5,5,"N/A, I have never thought about changing my major.",2.0 – 2.33,1st,1st,2nd,1st,1st,1st,2nd,1st,1st,2nd,1st,2nd,Middle School,None of the above,5,5,5,5,2,5,5,5,5
5/6/2025 0:57:00,Freshman,No,CEN or EE major,4,3,5,4,4,1,3,"N/A, I have never thought about changing my major.",2.67 – 3.0,1st,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,4,5,5,3,3,4,4,4,2
5/6/2025 10:13:49,Freshman,No,CEN or EE major,2,1,3,3,1,1,1,"I wanted a major that aligns better with my personal values or lifestyle., N/A, I have never thought about changing my major.",3.67 – 4.0,1st,Not applicable,Not applicable,2nd,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,4,4,4,2,3,3,4,4,3
5/6/2025 10:45:34,Junior,No,CS major,5,5,2,4,5,1,2,I wanted a major that aligns better with my personal values or lifestyle.,3.0 – 3.33,1st,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,High School,None of the above,4,4,4,4,3,3,3,3,3
5/6/2025 11:15:04,Sophomore,No,CS major,5,5,5,4,5,5,5,"N/A, I have never thought about changing my major.",3.67 – 4.0,2nd,3rd,2nd,1st,3rd,1st,2nd,3rd,2nd,3rd,1st,3rd,High School,IB courses and/or exam,5,2,4,1,3,5,5,5,4
5/6/2025 11:33:34,Freshman,No,CSBA major,3,1,1,5,1,1,1,"I found the coursework too challenging or overwhelming., The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",3.67 – 4.0,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,High School,None of the above,5,4,2,5,4,3,4,2,5
5/6/2025 11:37:53,Freshman,No,CS major,4,3,4,5,3,2,2,I wanted a major that aligns better with my personal values or lifestyle.,3.33 – 3.67,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,3rd,Not applicable,Not applicable,High School,None of the above,4,4,4,2,2,2,4,4,2
5/6/2025 11:47:00,Sophomore,No,not declared,5,3,4,4,4,2,3,"N/A, I have never thought about changing my major.",3.0 – 3.33,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,College,None of the above,5,5,5,2,3,3,3,3,3
5/6/2025 12:10:32,Sophomore,No,CSBA major,4,3,5,5,5,4,5,I realized I’m more passionate about another field.,3.67 – 4.0,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,"2nd, Not applicable",Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,1,1,1,3,3,4,3,4,3
5/6/2025 13:59:01,Freshman,No,CEN or EE major,5,4,5,3,2,1,1,"I realized I’m more passionate about another field., I wanted a major that aligns better with my personal values or lifestyle.",3.67 – 4.0,Not applicable,3rd,Not applicable,1st,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,5,2,4,5,3,4,3,4,5
5/6/2025 14:31:31,Freshman,No,CS major,5,5,5,3,1,1,1,"N/A, I have never thought about changing my major.",3.67 – 4.0,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Middle School,None of the above,5,4,5,1,3,4,4,5,1
5/6/2025 16:24:25,Graduate,Yes,Mathematics major,5,5,4,5,5,1,1,The current major isn’t meeting my career goals.,3.67 – 4.0,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,3rd,College,None of the above,5,5,5,3,2,3,3,2,4
5/6/2025 17:01:07,Sophomore,No,CS major,2,2,2,4,4,4,2,"N/A, I have never thought about changing my major.",3.0 – 3.33,1st,3rd,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,High School,AP courses and/or exam,2,2,2,2,3,2,2,3,4
5/6/2025 17:03:38,Freshman,No,CSBA major,5,3,4,5,4,1,1,The current major isn’t meeting my career goals.,3.67 – 4.0,1st,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,"MESA program, AP courses and/or exam",5,2,5,3,3,4,4,5,3
5/6/2025 17:31:57,Senior,No,Mathematics major,3,3,3,3,3,3,3,"N/A, I have never thought about changing my major.",2.67 – 3.0,3rd,3rd,3rd,3rd,3rd,3rd,3rd,3rd,3rd,3rd,3rd,Not applicable,College,AP courses and/or exam,4,4,4,4,4,3,4,3,3
5/6/2025 18:23:19,Freshman,No,CS major,3,2,3,3,3,1,3,"N/A, I have never thought about changing my major.",3.67 – 4.0,3rd,2nd,3rd,3rd,2nd,3rd,1st,3rd,3rd,1st,2nd,2nd,High School,None of the above,5,5,5,1,5,4,4,3,4
5/6/2025 18:34:12,Freshman,No,CS major,5,3,3,4,4,2,4,"N/A, I have never thought about changing my major.",3.33 – 3.67,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,"3rd, Not applicable",High School,AP courses and/or exam,4,5,5,2,3,4,4,3,3
5/6/2025 18:35:16,Senior,No,CS major,3,1,3,5,5,5,2,"N/A, I have never thought about changing my major.",3.0 – 3.33,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,1st,Not applicable,Not applicable,Not applicable,College,AP courses and/or exam,4,4,4,3,4,4,1,5,3
5/6/2025 21:43:56,Sophomore,No,CSBA major,4,3,4,4,2,2,2,"N/A, I have never thought about changing my major.",3.33 – 3.67,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,2nd,Not applicable,Not applicable,Not applicable,High School,None of the above,5,4,4,2,3,3,4,3,3
5/6/2025 23:01:33,Sophomore,No,Data Science major,5,5,5,5,5,5,5,The current major isn’t meeting my career goals.,3.33 – 3.67,2nd,2nd,1st,2nd,2nd,2nd,2nd,2nd,2nd,2nd,2nd,2nd,High School,AP courses and/or exam,1,1,1,1,4,3,4,3,4
5/6/2025 23:36:54,Freshman,No,CS major,5,2,4,3,1,1,1,"I realized I’m more passionate about another field., The current major isn’t meeting my career goals.",2.33 – 2.67,2nd,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,College,None of the above,4,5,2,1,3,3,3,4,4
5/6/2025 23:50:55,Freshman,No,CEN or EE major,5,3,5,5,3,1,1,The current major isn’t meeting my career goals.,3.67 – 4.0,2nd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,Not applicable,3rd,Before Middle School,AP courses and/or exam,5,5,5,2,3,4,5,5,2
5/6/2025 23:56:06,Freshman,No,Data Science major,4,5,2,5,5,4,4,I found the coursework too challenging or overwhelming.,2.67 – 3.0,Not applicable,Not applicable,1st,Not applicable,2nd,Not applicable,3rd,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,College,"PLTW courses and/or program, AP courses and/or exam",5,4,4,5,3,4,2,4,5
5/7/2025 0:30:32,Freshman,No,CS major,5,3,4,4,2,2,1,I found the coursework too challenging or overwhelming.,2.67 – 3.0,1st,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,2nd,Not applicable,Not applicable,Not applicable,Not applicable,3rd,High School,None of the above,4,4,4,2,2,3,3,4,4
5/7/2025 11:33:28,Sophomore,No,theater film and dig production ,4,4,5,4,4,3,3,The current major isn’t meeting my career goals.,3.67 – 4.0,Not applicable,Not applicable,Not applicable,1st,Not applicable,Not applicable,Not applicable,3rd,2nd,Not applicable,Not applicable,Not applicable,Before Middle School,AP courses and/or exam,5,5,5,3,4,4,4,4,2
